measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.0292,440.8334,139.164,218.6885,660.2537,81.6236,46.6226,0.7717,0.681,33.3381,16176.6201
microtubule,2,3,1.3859,565.0327,155.751,285.8857,839.8076,82.3046,48.4839,0.7264,1.1803,52.6415,25543.2018
microtubule,3,3,1.8662,441.1453,163.3415,157.7838,838.0871,71.9995,42.8547,1.2257,1.4073,58.3686,28322.1828
microtubule,1,2,1.0292,806.842,87.1736,692.8419,1003.9742,81.6236,46.6226,0.7717,0.681,55.547,26953.0469
microtubule,2,2,1.3859,651.4947,65.6817,525.2667,770.7027,82.3046,48.4839,0.7264,1.1803,63.8178,30966.2811
microtubule,3,2,1.8662,1193.1963,78.1083,1050.0322,1400.194,71.9995,42.8547,1.2257,1.4073,130.6488,63394.7125
background,1,3,1.0292,49.866,30.8512,-3.7779,137.4494,81.3513,46.895,0.7717,0.681,14.0004,6793.4008
background,2,3,1.3859,32.5525,42.708,-11.6898,142.7909,82.0322,48.9379,0.7264,1.1803,17.5254,8503.8366
background,3,3,1.8662,49.0735,33.6483,-20.1564,126.6256,72.5897,42.8093,1.2257,1.4073,24.4321,11855.1697
background,1,2,1.0292,830.6379,158.4268,667.1656,1175.1017,81.3513,46.895,0.7717,0.681,56.7239,27524.1484
background,2,2,1.3859,702.5765,73.34,549.5466,866.0231,82.0322,48.9379,0.7264,1.1803,67.1865,32600.9002
background,3,2,1.8662,1245.405,108.0458,1069.9907,1460.2551,72.5897,42.8093,1.2257,1.4073,135.1679,65587.4764
