measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.0267,3359.5841,289.7534,2735.3037,3887.9646,37.2255,9.4426,0.5448,1.9521,342.8357,166354.075
microtubule,2,3,1.7016,5492.2417,810.3033,4187.0022,6832.5696,38.3604,14.5724,0.2724,1.6797,450.2278,218463.919
microtubule,3,3,1.4124,3557.5453,688.2478,2717.1912,5264.1912,32.2772,14.6632,0.9987,0.9987,251.5495,122059.33
microtubule,1,2,2.0267,1143.4139,164.4599,886.3475,1464.7563,37.2255,9.4426,0.5448,1.9521,128.5028,62353.3635
microtubule,2,2,1.7016,1930.3093,209.692,1537.879,2279.6897,38.3604,14.5724,0.2724,1.6797,167.7789,81411.3239
microtubule,3,2,1.4124,1105.0761,191.7587,828.906,1648.906,32.2772,14.6632,0.9987,0.9987,86.8649,42149.442
background,1,3,2.0267,1384.8046,407.8623,895.1579,2551.1912,37.0893,10.0327,0.5448,1.9521,155.6257,75514.2184
background,2,3,1.7016,2368.3264,210.7928,1952.867,2698.0967,38.6782,14.6632,0.2724,1.6797,205.5833,99755.1362
background,3,3,1.4124,2383.7592,637.7792,1609.3545,3758.1912,32.5042,14.8448,0.9987,0.9987,174.1405,84498.177
background,1,2,2.0267,632.6264,121.7234,460.7208,981.906,37.0893,10.0327,0.5448,1.9521,80.0799,38857.1392
background,2,2,1.7016,888.7808,63.4995,787.1222,1050.406,38.6782,14.6632,0.2724,1.6797,86.2133,41833.2432
background,3,2,1.4124,948.9591,165.6877,690.3566,1281.0226,32.5042,14.8448,0.9987,0.9987,76.5693,37153.7003
