Original_Name	Blinded_Name
GTSE1(355-720)-FKBP-GFP_Tubulin_stain_072.tif	blind_0032
GTSE1(355-720)-FKBP-GFP_Tubulin_stain_073.tif	blind_0047
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_074.tif	blind_0085
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_075.tif	blind_0063
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_076.tif	blind_0064
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_077.tif	blind_0104
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_078.tif	blind_0131
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_079.tif	blind_0119
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_080.tif	blind_0067
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_081.tif	blind_0117
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_082.tif	blind_0041
GTSE1(400-720)-FKBP-GFP_Tubulin_stain_083.tif	blind_0086
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_084.tif	blind_0128
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_085.tif	blind_0114
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_086.tif	blind_0051
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_087.tif	blind_0053
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_088.tif	blind_0024
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_089.tif	blind_0010
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_090.tif	blind_0108
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_091.tif	blind_0080
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_092.tif	blind_0113
GTSE1(450-720)-FKBP-GFP_Tubulin_stain_093.tif	blind_0005
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_094.tif	blind_0018
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_095.tif	blind_0083
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_096.tif	blind_0118
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_097.tif	blind_0031
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_098.tif	blind_0061
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_099.tif	blind_0095
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_100.tif	blind_0107
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_101.tif	blind_0077
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_102.tif	blind_0069
GTSE1(500-720)-FKBP-GFP_Tubulin_stain_103.tif	blind_0097
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_104.tif	blind_0124
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_105.tif	blind_0012
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_106.tif	blind_0115
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_107.tif	blind_0011
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_108.tif	blind_0136
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_109.tif	blind_0116
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_110.tif	blind_0106
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_111.tif	blind_0015
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_112.tif	blind_0002
GTSE1(550-720)-FKBP-GFP_Tubulin_stain_113.tif	blind_0034
N_GTSE1-FKBP-GFP_Tubulin_stain_011.tif	blind_0054
N_GTSE1-FKBP-GFP_Tubulin_stain_012.tif	blind_0109
N_GTSE1-FKBP-GFP_Tubulin_stain_013.tif	blind_0003
N_GTSE1-FKBP-GFP_Tubulin_stain_014.tif	blind_0036
N_GTSE1-FKBP-GFP_Tubulin_stain_015.tif	blind_0035
N_GTSE1-FKBP-GFP_Tubulin_stain_016.tif	blind_0134
N_GTSE1-FKBP-GFP_Tubulin_stain_017.tif	blind_0017
N_GTSE1-FKBP-GFP_Tubulin_stain_018.tif	blind_0088
N_GTSE1-FKBP-GFP_Tubulin_stain_019.tif	blind_0027
N_GTSE1-FKBP-GFP_Tubulin_stain_020.tif	blind_0102
