file,type,time,measure
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,spindle green,0,2029.5316
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,cyto green,0,695.8129
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,mito green,0,724.6397
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,cell green,0,907.4319
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,spindle red,0,903.0576
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,cyto red,0,290.0042
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,mito red,0,356.0732
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-02.tif,cell red,0,453.1757
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,spindle green,1,860.7586
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,cyto green,1,402.6362
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,mito green,1,577.4409
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,cell green,1,545.0328
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,spindle red,1,771.8738
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,cyto red,1,261.4402
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,mito red,1,412.0314
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 2)-15.tif,cell red,1,424.7623
