file,type,time,measure
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,spindle green,0,2200.8978
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,cyto green,0,822.0931
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,mito green,0,914.5853
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,cell green,0,888.668
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,spindle red,0,2096.5822
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,cyto red,0,1317.3778
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,mito red,0,1524.1486
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-02.tif,cell red,0,1273.9139
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,spindle green,1,580.4908
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,cyto green,1,431.983
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,mito green,1,599.6809
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,cell green,1,499.4827
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,spindle red,1,1409.5435
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,cyto red,1,1047.731
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,mito red,1,1147.2011
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 1)-16.tif,cell red,1,1120.5108
