measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1836.125,414.4317,632.9062,2459.9062,4102.2891,123982
microtubule,2,3,1788.5625,247.8722,1310.9062,2351.9062,4001.5699,120938
microtubule,3,3,1757.8438,392.0156,971.9062,2434.9062,3936.5193,118972
microtubule,1,1,653.4219,88.7227,371.3125,818.3125,1611.7388,48711
microtubule,2,1,769.8438,77.3852,596.3125,1002.3125,1858.2759,56162
microtubule,3,1,609.5469,77.8392,427.3125,797.3125,1518.8284,45903
microtubule,1,2,547.4844,94.7398,368.4375,834.4375,1376.5509,41603
microtubule,2,2,568.5938,55.1259,448.4375,662.4375,1421.2525,42954
microtubule,3,2,532.9531,81.0551,376.4375,758.4375,1345.7793,40673
cytoplasm,1,3,346.1094,74.4547,207.9062,522.9062,947.0053,28621
cytoplasm,2,3,256.6406,86.4931,120.9062,490.9062,757.5447,22895
cytoplasm,3,3,304.9375,79.3843,167.9062,475.9062,859.819,25986
cytoplasm,1,1,412.3438,73.0883,274.3125,608.3125,1101.2275,33282
cytoplasm,2,1,384.5625,51.7764,250.3125,507.3125,1042.3974,31504
cytoplasm,3,1,427.0781,67.1917,296.3125,556.3125,1132.4293,34225
cytoplasm,1,2,537.5156,100.3638,307.4375,763.4375,1355.4409,40965
cytoplasm,2,2,438.875,73.0963,283.4375,597.4375,1146.5577,34652
cytoplasm,3,2,441.4531,77.2614,272.4375,604.4375,1152.0172,34817
