measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1228.6875,270.4413,695.4688,1721.4688,2819.0127,85198
microtubule,2,3,1056.5469,178.8658,725.4688,1380.4688,2454.4846,74181
microtubule,3,3,840.6406,214.5245,472.4688,1334.4688,1997.2777,60363
microtubule,1,1,508.75,113.144,317.0312,747.0312,1305.9747,39470
microtubule,2,1,372.875,41.168,275.0312,474.0312,1018.2433,30774
microtubule,3,1,431.8281,95.7484,243.0312,583.0312,1143.0835,34547
microtubule,1,2,2015.9688,437.0701,1153.8281,2808.8281,4485.4125,135561
microtubule,2,2,1434.4688,144.6897,1108.8281,1819.8281,3254.0177,98345
microtubule,3,2,1648.3594,400.9008,832.8281,2488.8281,3706.9563,112034
cytoplasm,1,3,198.4375,35.0424,130.4688,307.4688,637.3368,19262
cytoplasm,2,3,151.75,40.4473,92.4688,259.4688,538.4705,16274
cytoplasm,3,3,86.5625,17.859,48.4688,130.4688,400.4283,12102
cytoplasm,1,1,198.75,38.5196,124.0312,271.0312,649.5131,19630
cytoplasm,2,1,155.5781,31.1116,99.0312,261.0312,558.0916,16867
cytoplasm,3,1,179.9688,43.4971,114.0312,271.0312,609.7416,18428
cytoplasm,1,2,713.1875,174.0718,445.8281,1126.8281,1726.6196,52183
cytoplasm,2,2,628.0312,151.7546,438.8281,998.8281,1546.2912,46733
cytoplasm,3,2,716.2031,172.1101,388.8281,1192.8281,1733.0056,52376
