 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,376.953,69.176,195,582,857.215,63705.000
2,2.274,376.953,69.176,195,582,857.215,63705.000
3,2.274,487.757,72.084,308,660,1109.192,82431.000
4,2.274,385.178,75.188,246,575,875.918,65095.000
5,2.274,569.213,41.670,440,670,1294.427,96197.000
6,2.274,430.988,38.262,343,522,980.095,72837.000
7,2.274,275.296,83.731,122,505,626.040,46525.000
8,2.274,550.734,104.752,305,796,1252.404,93074.000
9,2.274,393.379,44.536,260,506,894.568,66481.000
10,2.274,131.432,18.631,87,183,298.885,22212.000
11,2.274,329.391,41.479,230,435,749.055,55667.000
12,2.274,226.047,25.135,156,289,514.046,38202.000
13,2.274,129.396,17.667,84,177,294.256,21868.000
14,2.274,258.083,32.981,168,365,586.897,43616.000
15,2.274,238.941,22.346,179,297,543.367,40381.000
16,2.274,128.485,15.779,73,166,292.184,21714.000
17,2.274,312.905,63.639,220,534,711.567,52881.000
18,2.274,232.923,27.372,168,299,529.682,39364.000
19,2.274,117.497,16.217,77,155,267.196,19857.000
20,2.274,132.036,22.146,84,202,300.257,22314.000
21,2.274,129.367,15.667,96,174,294.189,21863.000
