 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,379.609,55.323,262,520,863.256,64154.000
2,2.274,522.130,74.170,343,730,1187.358,88240.000
3,2.274,257.260,29.530,182,335,585.027,43477.000
4,2.274,681.556,80.849,404,892,1549.903,115183.000
5,2.274,660.598,74.383,396,822,1502.242,111641.000
6,2.274,330.538,34.895,244,434,751.666,55861.000
7,2.274,523.988,144.591,268,821,1191.583,88554.000
8,2.274,448.396,62.148,323,607,1019.682,75779.000
9,2.274,236.716,37.742,156,330,538.307,40005.000
10,2.274,197.118,25.246,142,275,448.260,33313.000
11,2.274,543.840,71.326,414,774,1236.728,91909.000
12,2.274,307.485,35.479,231,407,699.241,51965.000
13,2.274,163.710,19.084,110,230,372.287,27667.000
14,2.274,402.769,65.363,274,605,915.923,68068.000
15,2.274,278.272,39.999,173,425,632.809,47028.000
16,2.274,168.308,22.835,116,251,382.743,28444.000
17,2.274,296.006,34.979,218,423,673.137,50025.000
18,2.274,196.633,32.432,113,298,447.156,33231.000
19,2.274,117.580,16.585,79,168,267.384,19871.000
20,2.274,129.710,18.422,90,170,294.969,21921.000
21,2.274,132.805,17.376,77,174,302.007,22444.000
