 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,481.095,64.068,304,651,1094.040,81305.000
2,2.274,2305.142,222.846,1618,2763,5242.041,389569.000
3,2.274,652.438,55.645,494,825,1483.686,110262.000
4,2.274,491.905,45.461,374,637,1118.624,83132.000
5,2.274,1982.225,292.760,1403,2611,4507.707,334996.000
6,2.274,648.331,76.903,472,818,1474.347,109568.000
7,2.274,485.870,61.745,317,620,1104.899,82112.000
8,2.274,2114.675,252.016,1424,2506,4808.906,357380.000
9,2.274,679.012,67.712,504,882,1544.117,114753.000
10,2.274,156.586,19.553,99,204,356.086,26463.000
11,2.274,571.349,60.700,403,714,1299.285,96558.000
12,2.274,373.811,47.193,253,508,850.069,63174.000
13,2.274,150.302,19.753,101,209,341.796,25401.000
14,2.274,506.148,45.087,390,616,1151.013,85539.000
15,2.274,390.083,37.586,301,504,887.073,65924.000
16,2.274,141.639,17.835,100,186,322.096,23937.000
17,2.274,423.456,43.734,309,564,962.965,71564.000
18,2.274,338.284,34.375,244,434,769.280,57170.000
19,2.274,114.550,16.427,64,161,260.495,19359.000
20,2.274,124.266,18.665,65,175,282.589,21001.000
21,2.274,132.343,19.161,82,171,300.957,22366.000
