 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,448.450,115.976,240,730,1019.803,75788.000
2,2.274,601.361,84.417,384,808,1367.533,101630.000
3,2.274,324.680,43.619,227,449,738.344,54871.000
4,2.274,402.148,99.268,158,604,914.510,67963.000
5,2.274,613.148,67.331,414,750,1394.338,103622.000
6,2.274,282.870,36.755,199,377,643.264,47805.000
7,2.274,302.722,58.110,185,468,688.409,51160.000
8,2.274,511.698,78.343,341,746,1163.635,86477.000
9,2.274,325.828,51.055,239,507,740.955,55065.000
10,2.274,139.444,19.702,92,187,317.104,23566.000
11,2.274,331.178,36.374,250,428,753.119,55969.000
12,2.274,212.296,26.475,134,282,482.774,35878.000
13,2.274,130.450,19.274,86,180,296.651,22046.000
14,2.274,285.136,29.659,210,380,648.418,48188.000
15,2.274,176.698,25.242,110,239,401.823,29862.000
16,2.274,148.148,20.426,98,220,336.898,25037.000
17,2.274,366.408,43.803,266,496,833.236,61923.000
18,2.274,205.870,25.966,138,274,468.161,34792.000
19,2.274,114.959,17.740,60,161,261.423,19428.000
20,2.274,130.799,20.125,78,178,297.445,22105.000
21,2.274,129.598,17.427,83,181,294.713,21902.000
