 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.728,2400.591,258.992,1722,3110,11349.171,5506956
2,1.583,11729.771,386.888,10586,13175,18565.356,9008464
3,1.583,6885.561,1471.688,4788,9843,10898.158,5288111
4,1.583,8119.684,1117.320,6267,10339,12851.472,6235917
5,350.222,7732.807,1874.916,2865,14095,2708196.632,1314097678
6,4.728,2084.803,126.049,1735,2572,9856.231,4782537
7,1.583,4730.470,171.872,4258,5338,7487.176,3633001
8,1.583,2506.969,340.350,1933,3334,3967.918,1925352
9,1.583,3409.440,581.811,2318,4523,5396.309,2618450
10,350.222,3435.976,797.518,1313,5894,1203353.401,583902916
