 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,1045.734,76.649,862,1257,2378.066,176729.000
2,2.274,469.485,163.209,272,985,1067.640,79343.000
3,2.274,121.036,17.079,73,165,275.243,20455.000
4,2.274,415.491,57.114,312,587,944.854,70218.000
5,2.274,1131.799,122.200,842,1415,2573.783,191274.000
6,2.274,538.148,126.793,273,955,1223.783,90947.000
7,2.274,432.769,48.385,311,588,984.145,73138.000
8,2.274,1095.249,136.107,761,1313,2490.666,185097.000
9,2.274,185.065,25.879,105,300,420.850,31276.000
10,2.274,150.260,21.623,85,194,341.702,25394.000
11,2.274,321.047,31.555,238,394,730.082,54257.000
12,2.274,148.379,21.688,93,201,337.423,25076.000
13,2.274,158.379,21.622,92,210,360.163,26766.000
14,2.274,367.781,37.647,275,489,836.358,62155.000
15,2.274,528.462,94.533,262,860,1201.756,89310.000
16,2.274,153.112,19.727,99,207,348.188,25876.000
17,2.274,296.266,37.703,195,398,673.729,50069.000
18,2.274,284.781,89.529,130,575,647.610,48128.000
19,2.274,110.213,17.374,72,153,250.631,18626.000
20,2.274,120.041,17.692,61,175,272.982,20287.000
21,2.274,113.663,16.715,80,160,258.476,19209.000
